City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hammerfest,70.6634,23.6821,0.25,100,100,5.66,NO,1701399154
83,ntcheu,-14.8203,34.6359,17.63,89,100,2.43,MW,1701399239
84,queenstown,-31.8976,26.8753,12.25,52,3,1.2,ZA,1701399239
85,antofagasta,-23.65,-70.4,18.6,74,14,0.54,CL,1701399240
86,hithadhoo,-0.6,73.0833,27.79,76,100,5.34,MV,1701399240
87,farafangana,-22.8167,47.8333,23.51,91,99,4.08,MG,1701399241
88,vilyuchinsk,52.9306,158.4028,-0.85,73,100,4.41,RU,1701399241
89,west island,-12.1568,96.8225,27.99,65,40,6.17,CC,1701399242
90,tucuma,-0.1833,-50.05,25.27,88,2,2.39,BR,1701399242
91,ta`u,-14.2336,-169.5144,28.13,79,31,7.97,AS,1701399243
92,puerto ayora,-0.7393,-90.3518,24.75,91,90,3.13,EC,1701399243
93,ceeldheer,3.8488,47.1806,25.41,73,29,7.58,SO,1701399244
94,puerto leguizamo,-0.1934,-74.7819,23.81,89,99,1.29,CO,1701399244
95,piacabucu,-10.4056,-36.4344,24.74,81,59,3.91,BR,1701399245
96,bubaque,11.2833,-15.8333,28.02,74,93,5.61,GW,1701399245
97,peterborough,52.5736,-0.2478,-0.05,93,75,4.63,GB,1701399003
98,tazovsky,67.4667,78.7,-22.4,99,62,2.25,RU,1701399246
99,yemetsk,63.4721,41.7941,-11.34,91,100,2.63,RU,1701399247
100,sai buri,6.7013,101.6168,28.31,76,100,2.66,TH,1701399247
101,bonthe,7.5264,-12.505,25.84,85,88,0.72,SL,1701399240
102,remire-montjoly,4.9167,-52.2667,27.02,78,0,1.54,GF,1701399249
103,college,64.8569,-147.8028,-8.03,84,75,1.54,US,1701399249
104,udachny,66.4167,112.4,-26.35,94,62,8.1,RU,1701399250
105,albany,42.6001,-73.9662,7.07,72,50,2.43,US,1701399250
106,galesong,-5.3166,119.3661,30.01,65,94,1.74,ID,1701399251
107,roccella ionica,38.322,16.4009,17.51,69,77,6.03,IT,1701399251
108,myeik,12.4333,98.6,28.81,65,11,2.78,MM,1701399252
109,el aioun,34.5832,-2.5061,14.76,38,100,2.41,MA,1701399252
110,treasure island,27.7692,-82.769,20.1,77,0,2.57,US,1701399253
111,khandyga,62.6667,135.6,-30.7,98,100,0.21,RU,1701399253
112,ilulissat,69.2167,-51.1,7.01,31,79,13.38,GL,1701399254
113,tucurui,-3.7661,-49.6725,23.26,94,1,2.04,BR,1701399254
114,makokou,0.5738,12.8642,20.61,98,42,0.2,GA,1701399255
115,aral,40.5156,81.2636,2.65,43,99,0.84,CN,1701399255
116,chonchi,-42.6128,-73.8092,11.18,87,100,2.48,CL,1701399256
117,polyarnyy,69.1989,33.4478,-12.6,97,88,3.77,RU,1701399256
118,melekeok village,7.4957,134.6367,31.31,70,75,4.63,PW,1701399257
119,lloydminster,53.2835,-110.0016,-9.88,85,0,3.6,CA,1701399235
120,lazaro cardenas,17.9583,-102.2,25.56,83,92,1.21,MX,1701399258
121,badger,64.8,-147.5333,-8.07,87,75,1.54,US,1701399259
122,smiltene,57.4244,25.9016,-6.09,97,100,1.0,LV,1701399259
123,vershino-darasunskiy,52.35,115.5167,-15.33,82,95,1.14,RU,1701399260
124,invercargill,-46.4,168.35,15.17,49,2,4.52,NZ,1701399260
125,saint-joseph,-21.3667,55.6167,24.21,66,79,1.52,RE,1701399261
126,vorkuta,67.5,64.0,-22.33,99,81,1.69,RU,1701399261
127,mejit,10.2753,170.8646,27.63,76,100,8.85,MH,1701399262
128,flying fish cove,-10.4217,105.6791,27.82,65,40,4.63,CX,1701399262
129,fisterra,42.9049,-9.2629,11.53,69,79,8.0,ES,1701399263
130,east london,-33.0153,27.9116,17.16,76,5,9.19,ZA,1701399263
131,arcadia,34.1397,-118.0353,16.15,76,75,1.3,US,1701399117
132,enewetak,11.3474,162.3373,27.82,77,100,7.05,MH,1701399264
133,isafjordur,66.0755,-23.124,-1.45,76,100,6.03,IS,1701399265
134,bikenibeu village,1.3673,173.1241,30.98,70,75,2.06,KI,1701399265
135,paramirim,-13.4425,-42.2389,22.8,43,1,0.94,BR,1701399266
136,taghazout,30.5426,-9.7112,14.43,48,12,3.49,MA,1701399266
137,westport,41.1415,-73.3579,9.9,72,0,6.69,US,1701399267
138,vila velha,-20.3297,-40.2925,25.97,84,0,4.47,BR,1701399267
139,huarmey,-10.0681,-78.1522,20.69,85,97,4.73,PE,1701399268
140,constantia,44.1833,28.65,5.39,88,88,6.42,RO,1701399268
141,akureyri,65.6835,-18.0878,-0.04,86,100,3.6,IS,1701399269
142,hirara,24.8,125.2833,18.92,94,75,10.8,JP,1701399269
143,avarua,-21.2078,-159.775,27.03,69,20,7.72,CK,1701399270
144,fort st. john,56.2499,-120.8529,-13.06,85,20,4.12,CA,1701399270
145,kingscliff,-28.2667,153.5667,33.76,54,64,7.2,AU,1701399271
146,chegdomyn,51.1167,133.0167,-17.89,75,58,0.65,RU,1701399271
147,barra de santo antonio,-9.4047,-35.5072,24.6,83,64,4.3,BR,1701399272
148,nogliki,51.8333,143.1667,-12.03,77,59,6.26,RU,1701399272
149,weno,7.4515,151.8468,31.97,70,75,5.14,FM,1701399273
150,yeed,4.55,43.0333,24.51,50,38,4.6,SO,1701399273
151,kristiansund,63.1115,7.732,-2.64,68,100,2.57,NO,1701399274
152,altamira,-3.2033,-52.2064,23.04,93,29,1.25,BR,1701399000
153,wuhai,39.6647,106.8122,-3.54,21,0,4.33,CN,1701399275
154,mityana,0.4175,32.0228,16.02,93,48,0.55,UG,1701399275
155,myitkyina,25.3833,97.4,22.18,48,0,0.84,MM,1701399276
156,puerto baquerizo moreno,-0.9,-89.6,24.21,78,63,3.95,EC,1701399276
157,fale old settlement,-9.3852,-171.2468,29.3,78,75,7.68,TK,1701399277
158,usogorsk,63.4106,48.6872,-16.85,99,93,1.0,RU,1701399277
159,nantucket,41.2835,-70.0995,9.45,77,0,8.23,US,1701399278
160,kot isa khan,30.95,75.1333,16.1,72,0,1.78,IN,1701399278
161,tazacorte,28.629,-17.9293,19.53,97,75,3.13,ES,1701399279
162,rosa zarate,0.3333,-79.4667,24.35,88,97,1.15,EC,1701399279
163,ghat,24.9647,10.1728,17.31,19,0,2.18,LY,1701399280
164,kruisfontein,-34.0033,24.7314,17.82,44,0,3.4,ZA,1701399280
165,khandud,36.9513,72.318,-2.99,85,88,0.72,AF,1701399281
166,taoudenni,22.6783,-3.9836,19.1,16,93,2.34,ML,1701399281
167,borgarnes,64.5383,-21.9206,0.03,76,16,5.04,IS,1701399282
168,nemuro,43.3236,145.575,-0.59,46,1,8.26,JP,1701399282
169,tiksi,71.6872,128.8694,-22.87,95,100,9.01,RU,1701399283
170,klyuchi,52.2667,79.1667,-0.76,63,100,4.4,RU,1701399283
171,necochea,-38.5473,-58.7368,20.86,43,65,5.62,AR,1701399284
172,nar'yan-mar,67.6713,53.087,-9.38,98,100,1.79,RU,1701399123
173,lebu,-37.6167,-73.65,12.41,80,88,2.49,CL,1701399284
174,belaya kholunitsa,58.84,50.8528,-9.77,91,100,2.86,RU,1701399285
175,takab,36.4009,47.1133,4.89,26,100,1.35,IR,1701399285
176,alexandria,31.2156,29.9553,14.3,71,78,3.0,EG,1701399150
177,anadyr,64.75,177.4833,-5.72,79,20,3.0,RU,1701399286
178,taveta,-3.3963,37.6736,20.72,82,55,1.6,KE,1701399287
179,aasiaat,68.7098,-52.8699,-3.7,82,93,3.04,GL,1701399287
180,bilibino,68.0546,166.4372,-28.81,90,63,1.96,RU,1701399288
181,padre bernardo,-15.35,-48.5,23.33,61,29,1.52,BR,1701399288
182,prado,-17.3411,-39.2208,24.75,89,100,4.94,BR,1701399289
